序号,开标时间,项目名称,开标地点,采购单位
22,2018-04-16 14:30,祁连县2018年全民义务植树苗木采购项目,青海省人民政府服务和公共资源交易中心（西宁市城西区西川南路53号文博大厦二楼，具体开标室详见当日电子屏显示）,祁连县环境保护和林业局
23,2018-04-16 14:30,玉树灾后重建后续完善项目第二批监理(第二次）,青海省人民政府行政服务和公共资源交易中心二楼,玉树藏族自治州文物管理局
24,2018-04-16 14:30,玉树州创建民族进步先进区工作领导小组办公室玉树州民族团结进步创建纪实片制作,山东通力招标有限公司青海分公司（西宁市城西区西川南路76号万达中心4号写字楼22层12201室）,玉树州创建民族进步先进区工作领导小组办公室
25,2018-04-16 14:40,2017年中央支持地方高校-实验室监控系统及公共教学设备建设项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海民族大学
26,2018-04-16 14:40,2017年生均专项“非线性编辑软件升级”实验实项目（外语实验室）,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海民族大学
27,2018-04-16 15:00,青海省东川监狱监区防控智能化管理系统项目,青海省人民政府行政服务和公共资源交易中心二楼开标室1号开标室,青海省东川监狱
28,2018-04-16 15:00,海西州人民政府办公室原州工商局办公楼维修改造工程,海西州行政服务和公共资源交易中心四楼,海西州政府机关事务管理中心
29,2018-04-16 15:00,祁连县公安局辖区各派出所办案场所系统设备维修及更新项目,青海省海北州祁连县财政局四楼会议室,祁连县公安局
30,2018-04-16 15:00,大通回族土族自治县住房和城乡规划建设局总规实施评估项目,青海省西宁市城西区黄河路90号西宁市政府综合大楼三楼青海国焱招标代理有限公司,大通回族土族自治县住房和城乡规划建设局
31,2018-04-16 15:30,共和县恰卜恰污水处理厂提标改造PPP项目设计采购,海南藏族自治州行政服务和公共资源交易中心1号评标室,共和县环境保护和林业局
32,2018-04-16 15:30,编印《海西州干部学说蒙古语口语读本》和《海西州干部学说藏语口语读本》采购项目（二次）,海西州行政服务和公共资源交易中心四楼2号询价竟谈室,海西州创建民族团结进步先进区工作领导小组
33,2018-04-16 15:30,海东市平安区第二中学机器人教室成套设备采购安装项目（第二次）,海东市平安区政务服务中心三楼开标室,海东市平安区第二中学
